X,prop.aneu,prob.meio,prob.mito,dispersal,euploid,mosaic,aneuploid,embryo,first_biopsy_cell,second_biopsy_cell,first_biopsy_type,second_biopsy_type,embryo_type
400098,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400099,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400100,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400101,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400102,0.10546875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400103,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400104,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400105,0.5546875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,3,5,Mosaic,Aneuploid,Mosaic Aneuploid
400106,0.12890625,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,1,Euploid,Mosaic,Mosaic Aneuploid
400107,0.1484375,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400108,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400109,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400110,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400111,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400112,0.16015625,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,1,Euploid,Mosaic,Mosaic Aneuploid
400113,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400114,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400115,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400116,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400117,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400118,0.18359375,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
400119,0.19140625,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,0,Mosaic,Euploid,Mosaic Aneuploid
400120,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400121,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400122,0.0546875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,1,Euploid,Mosaic,Mosaic Aneuploid
400123,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400124,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400125,0.23828125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,2,Mosaic,Mosaic,Mosaic Aneuploid
400126,0.046875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400127,0.52734375,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,3,3,Mosaic,Mosaic,Mosaic Aneuploid
400128,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400129,0.1953125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,2,Mosaic,Mosaic,Mosaic Aneuploid
400130,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400131,0.07421875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400132,0.09765625,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400133,0.171875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,1,Mosaic,Mosaic,Mosaic Aneuploid
400134,0.17578125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,1,0,Mosaic,Euploid,Mosaic Aneuploid
400135,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
400136,0.09765625,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400137,0.125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400138,0.14453125,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400139,0.04296875,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400140,0.05859375,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,0,0,Euploid,Euploid,Mosaic Aneuploid
400141,1,0.556660953302199,0.0228006316529617,0.5,0.239,0.213,0.548,,5,5,Aneuploid,Aneuploid,Fully Aneuploid
