"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"742",2,0.3852344,0.3759255,0.01257912,0,0.53,0.14,0.33
"743",3,0.5730859,0.4818001,0.02644878,0,0.39,0.13,0.48
"744",4,0.6265625,0.3770072,0.05805045,0,0.28,0.23,0.49
"745",5,0.6539453,0.3961053,0.06049216,0,0.25,0.25,0.5
"746",6,0.5205859,0.3381291,0.03990428,0,0.38,0.19,0.43
"747",7,0.5549609,0.4868307,0.02973074,0,0.39,0.16,0.45
"748",8,0.4099609,0.3787453,0.01528243,0,0.54,0.13,0.33
"749",9,0.4876953,0.4204506,0.01072257,0,0.43,0.14,0.43
"750",10,0.4769531,0.3540391,0.03340618,0,0.47,0.15,0.38
"751",1,0.5663672,0.3580181,0.02410693,0,0.36,0.12,0.52
"752",2,0.5658203,0.4521053,0.03911258,0,0.37,0.16,0.47
"753",3,0.4457813,0.2957347,0.01729733,0,0.46,0.15,0.39
"754",4,0.4851563,0.4155862,0.03056541,0,0.43,0.2,0.37
"755",5,0.5451563,0.2597312,0.06557038,0,0.34,0.27,0.39
"756",6,0.4667578,0.3342351,0.02864547,0,0.45,0.19,0.36
"757",7,0.5989844,0.4374441,0.04141925,0,0.31,0.17,0.52
"758",8,0.4487109,0.2833769,0.01937026,0,0.47,0.17,0.36
"759",9,0.5230469,0.2424717,0.05494161,0,0.38,0.28,0.34
"760",10,0.5071094,0.4391412,0.02474123,0,0.37,0.21,0.42
"761",1,0.4391797,0.2310633,0.04242494,0,0.47,0.23,0.3
"762",2,0.6655078,0.5424532,0.05443322,0,0.26,0.23,0.51
"763",3,0.5451953,0.3128192,0.05525602,0,0.32,0.32,0.36
"764",4,0.5109766,0.3649195,0.02429935,0,0.39,0.18,0.43
"765",5,0.4340625,0.3344192,0.02966171,0,0.43,0.25,0.32
"766",6,0.5293359,0.2863422,0.05214318,0,0.33,0.28,0.39
"767",7,0.6493359,0.5192805,0.04198981,0,0.28,0.16,0.56
"768",8,0.4545703,0.3759056,0.02153667,0,0.41,0.22,0.37
"769",9,0.5808984,0.492376,0.02635965,0,0.36,0.15,0.49
"770",10,0.5746875,0.4905893,0.04528229,0,0.33,0.21,0.46
"771",1,0.5108594,0.2296372,0.04641787,0,0.37,0.27,0.36
"772",2,0.5742578,0.4010068,0.04502064,0,0.36,0.19,0.45
"773",3,0.5870703,0.5240181,0.02070707,0,0.34,0.12,0.54
"774",4,0.5087109,0.4448702,0.01524946,0,0.47,0.08,0.45
"775",5,0.4739844,0.3408126,0.0356863,0,0.46,0.17,0.37
"776",6,0.5203516,0.4954979,0.02188155,0,0.34,0.21,0.45
"777",7,0.6369922,0.3019349,0.04327708,0,0.29,0.18,0.53
"778",8,0.4742578,0.3017564,0.05113352,0,0.39,0.27,0.34
"779",9,0.5805859,0.4172627,0.03920399,0,0.28,0.27,0.45
"780",10,0.5332031,0.4618975,0.02375406,0,0.3,0.24,0.46
"781",1,0.5534375,0.261665,0.052935621,0,0.32,0.27,0.41
"782",2,0.5545313,0.4905645,0.041033354,0,0.31,0.26,0.43
"783",3,0.5876562,0.4241153,0.034225667,0,0.26,0.25,0.49
"784",4,0.6416406,0.5420317,0.055204983,0,0.27,0.23,0.5
"785",5,0.4150391,0.344577,0.003823189,0,0.51,0.09,0.4
"786",6,0.6381641,0.3803338,0.059287678,0,0.27,0.27,0.46
"787",7,0.4824609,0.3560792,0.017170273,0,0.42,0.18,0.4
"788",8,0.5737109,0.382246,0.035798119,0,0.29,0.24,0.47
"789",9,0.5669531,0.4904571,0.030093417,0,0.32,0.19,0.49
"790",10,0.531875,0.4780362,0.021316185,0,0.38,0.17,0.45
"791",1,0.5623828,0.4088725,0.03168368,0,0.37,0.15,0.48
"792",2,0.4949219,0.3659942,0.0202199,0,0.45,0.13,0.42
"793",3,0.5863672,0.2357413,0.06869232,0,0.37,0.23,0.4
"794",4,0.5795313,0.3870575,0.04459791,0,0.33,0.24,0.43
"795",5,0.4852344,0.4596428,0.0217494,0,0.42,0.15,0.43
"796",6,0.5690625,0.4680953,0.02529404,0,0.41,0.12,0.47
"797",7,0.4562891,0.3944085,0.02951075,0,0.46,0.18,0.36
"798",8,0.5616406,0.533577,0.03221534,0,0.37,0.18,0.45
"799",9,0.4917578,0.3309446,0.02824981,0,0.44,0.17,0.39
"800",10,0.5267969,0.351069,0.04759869,0,0.36,0.24,0.4
"801",1,0.6071484,0.4496591,0.0438015,0,0.3,0.21,0.49
"802",2,0.5107031,0.3644741,0.0426113,0,0.41,0.21,0.38
"803",3,0.5570703,0.1952752,0.06645621,0,0.36,0.31,0.33
"804",4,0.4896875,0.274596,0.04099338,0,0.36,0.31,0.33
"805",5,0.4723438,0.2267691,0.04228419,0,0.43,0.27,0.3
