"","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"2066",0.4183663,0.0130759133,1,0.32,0.25,0.43
"2067",0.2746674,0.0186584305,1,0.35,0.37,0.28
"2068",0.4672499,0.0183742372,1,0.3,0.21,0.49
"2069",0.6304081,0.0063402294,1,0.31,0.03,0.66
"2070",0.5411925,0.0058918879,1,0.41,0.05,0.54
"2071",0.4315424,0.005045601,1,0.48,0.09,0.43
"2072",0.3766834,0.021105694,1,0.24,0.41,0.35
"2073",0.4056693,0.019438347,1,0.39,0.3,0.31
"2074",0.5050497,0.024062122,1,0.24,0.24,0.52
"2075",0.4594226,0.020624359,1,0.3,0.3,0.4
"2076",0.3931036,0.014180442,1,0.35,0.2,0.45
"2077",0.4689455,0.020721572,1,0.3,0.28,0.42
"2078",0.5314803,0.014316434,1,0.27,0.19,0.54
"2079",0.2535269,0.008371416,1,0.57,0.22,0.21
"2080",0.5058302,0.020910181,1,0.26,0.24,0.5
"2081",0.2915645,0.001636909,1,0.61,0.07,0.32
"2082",0.4972996,0.013380629,1,0.3,0.19,0.51
"2083",0.3077834,0.012313737,1,0.37,0.26,0.37
"2084",0.5040722,0.009073712,1,0.28,0.19,0.53
"2085",0.5045685,0.004131264,1,0.46,0.03,0.51
"2086",0.5470699,0.015613992,1,0.23,0.22,0.55
"2087",0.2890295,0.011788794,1,0.4,0.27,0.33
"2088",0.4667532,0.011122264,1,0.29,0.25,0.46
"2089",0.263084,0.005213688,1,0.58,0.08,0.34
"2090",0.5159891,0.022754694,1,0.22,0.24,0.54
"2091",0.5153215,0.021504183,1,0.25,0.31,0.44
"2092",0.2350138,0.020515342,1,0.3,0.47,0.23
"2093",0.5765048,0.029734012,1,0.17,0.33,0.5
"2094",0.4920614,0.027143685,1,0.14,0.34,0.52
"2095",0.2548121,0.016899229,1,0.42,0.34,0.24
"2096",0.4935452,0.03471921,1,0.14,0.41,0.45
"2097",0.3667055,0.028233769,1,0.15,0.42,0.43
"2098",0.4682529,0.001288574,1,0.53,0.01,0.46
"2099",0.496218,0.011625326,1,0.29,0.18,0.53
"2100",0.5951976,0.021337908,1,0.19,0.19,0.62
"2101",0.6928039,0.004999829,1,0.3,0.05,0.65
"2102",0.5283602,0.011474295,1,0.32,0.08,0.6
"2103",0.3711292,0.013946504,1,0.47,0.23,0.3
"2104",0.3879617,0.021460107,1,0.24,0.31,0.45
"2105",0.563349,0.010259205,1,0.38,0.22,0.4
