"","prob.meio","prob.mito","Euploid","Mosaic Aneuploid","Fully Aneuploid","misclassification"
"155",0.358214740124095,0.0826211732485499,0,645,355,0.2
"515",0.31688795932819,0.084234028736109,0,680,320,0.2
"231.1",0.375047418241812,0.0727112948531808,0,605,395,0.2
"7.1",0.411049996061839,0.0651739728753764,0,606,394,0.2
"410",0.358086024175832,0.0774868374681861,0,623,377,0.2
"43.1",0.33027336951791,0.0804665633104628,0,660,340,0.2
"82",0.366473751045183,0.066923414535954,0,618,382,0.2
"84.1",0.387257690681334,0.0732998493765117,0,618,382,0.2
"404.2",0.329971314240161,0.0818016789418822,0,658,342,0.2
"326",0.380646144102481,0.0684931243271519,0,605,395,0.2
"193.7",0.331325669643339,0.0817138304572771,0,680,320,0.2
"512.1",0.331689021538582,0.0877267431171888,0,677,323,0.2
"374",0.348443739094371,0.0793464329425253,0,624,376,0.2
"224.1",0.358625406818917,0.0784375811261637,0,636,364,0.2
"479.1",0.445412881679175,0.0625280900554155,0,532,468,0.2
"376.2",0.409593083965328,0.0610974997214917,0,592,408,0.2
"40.2",0.385341716157634,0.0761239153002172,0,610,390,0.2
"153.2",0.332857157529913,0.0826427061397245,0,646,354,0.2
"490",0.366228277128409,0.0804500754853018,0,653,347,0.2
"33.1",0.427994506148502,0.0653059200182791,0,580,420,0.2
"387.2",0.378876099315956,0.0671757732109551,0,591,409,0.2
"416.1",0.384166971812018,0.0712819195485697,0,610,390,0.2
"424.2",0.376997150750818,0.0735560249247249,0,572,428,0.2
"143",0.404199867380785,0.0662825541967177,0,562,438,0.2
"141.1",0.354657793030604,0.0796472649852429,0,641,359,0.2
"388",0.353184425154646,0.0753386157497659,0,658,342,0.2
"399",0.360719736379488,0.0765595123519297,0,635,365,0.2
"337",0.402942424455725,0.0689306572608324,0,569,431,0.2
"507.2",0.398449850546498,0.0755987742774392,0,610,390,0.2
"277",0.389979757340442,0.0735772116007871,0,606,394,0.2
"462.1",0.390417326922866,0.0738472272056302,0,605,395,0.2
"66.2",0.331678723226511,0.0765611450173583,0,670,330,0.2
"61.1",0.401455182393854,0.0739834609553196,0,604,396,0.2
"429.1",0.394908583610136,0.0744963845225732,0,624,376,0.2
"263",0.385994151078552,0.076248181355581,0,630,370,0.2
"132",0.363537061492766,0.081414500710674,0,624,376,0.2
"274.2",0.389586259824414,0.0749054556460708,0,601,399,0.2
"246.3",0.37310414994313,0.0672255772258117,0,624,376,0.2
"380",0.443380661204491,0.0700153548202772,0,565,435,0.2
"12.3",0.331226128074216,0.0750089787936956,0,672,328,0.2
"410.1",0.358086024175832,0.0774868374681861,0,663,337,0.2
"173",0.366520359889177,0.0824626424997957,0,630,370,0.2
"316",0.33655216838642,0.079714909594727,0,673,327,0.2
"13.2",0.41484812774084,0.0697839258887301,0,612,388,0.2
"487",0.323407485623526,0.0860824468004983,0,674,326,0.2
"45",0.383402615909165,0.0773831251488747,0,600,400,0.2
"469",0.359703483231333,0.0825720058855099,0,624,376,0.2
"249",0.371716211679303,0.0826557019837185,0,618,382,0.2
"210.2",0.321233366256608,0.0820834649597822,0,650,350,0.2
"212.3",0.345985815704265,0.0779879323980566,0,659,341,0.2
"13.3",0.41484812774084,0.0697839258887301,0,598,402,0.2
"202",0.397965907996158,0.0759475766534551,0,625,375,0.2
"327",0.373683759154457,0.0760498176069092,0,613,387,0.2
"22.3",0.321641492673629,0.0806059469001386,0,662,338,0.2
"278",0.316373146554918,0.0811628023263587,0,685,315,0.2
"56",0.36999717613542,0.0712180386704068,0,596,404,0.2
"23.1",0.356198007096172,0.0846263108326315,0,640,360,0.2
"424.3",0.376997150750818,0.0735560249247249,0,637,363,0.2
"424.4",0.376997150750818,0.0735560249247249,0,649,351,0.2
"347",0.399813611500509,0.0725707702109078,0,576,424,0.2
"337.1",0.402942424455725,0.0689306572608324,0,604,396,0.2
"419.1",0.411297624218677,0.0708200569984689,0,585,415,0.2
"155.1",0.358214740124095,0.0826211732485499,0,627,373,0.2
"214",0.331477649934363,0.0768958438327456,0,651,349,0.2
"374.1",0.348443739094371,0.0793464329425253,0,627,373,0.2
"417.2",0.382116878954238,0.0684354350848262,0,620,380,0.2
"268",0.392825228082838,0.0762891099573376,0,626,374,0.2
"346.2",0.361563003250718,0.0734420329649684,0,648,352,0.2
"86",0.342046368336186,0.0799913883840713,0,666,334,0.2
"516.2",0.317456784074552,0.0817172467999745,0,687,313,0.2
"70.2",0.339158662082469,0.0812088291797045,0,686,314,0.2
"355.1",0.323429071439695,0.0760935648791344,0,659,341,0.2
"381",0.413434349288978,0.0691459800060528,0,597,403,0.2
"42.1",0.363258646248131,0.0752303244756913,0,626,374,0.2
"278.1",0.316373146554918,0.0811628023263587,0,682,318,0.2
"485.1",0.325167349425538,0.0863096178631448,0,674,326,0.2
